Name,player_id,Age,Team,Season,Cluster,PA,wRC+,xwOBA,OFF,xBA,K%,BB%,P/PA,SwStr%,50th_max_velo,Brls/BBE%,HardHit%,HR/FB%,Spd,BsR,GB%,LD%,FB%,IFH%,Pull%,Oppo%,Swing%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,LA,HR,SB
Jake Cronenworth,630105,29,SDP,2023,10,522,92,0.305,-2.7,0.238,18.6,8.8,3.95,6.4,97.7,4.4,33.2,6.8,5.8,2.4,37.2,22.2,40.6,8.2,36.2,26.7,47.3,31,74.9,67.3,93.1,15,10,6
Ronald Acuña,660670,25,ATL,2023,7,735,170,0.46,72.9,0.357,11.4,10.9,3.79,7.8,106.4,15.3,55,24,7.3,8.8,49.5,20.1,30.4,8.3,39.7,24.7,46.2,26.8,73.8,72.8,87.8,7.4,41,73
Whit Merrifield,593160,34,TOR,2023,10,592,93,0.276,-3.5,0.242,17.1,6.1,3.72,9.1,94.9,2.4,24.1,6.5,4.5,1.3,40.4,22.2,37.5,9.3,34.3,27.9,50.9,36.4,74.1,70.2,87.7,14.4,11,26
J.T. Realmuto,592663,32,PHI,2023,7,540,102,0.334,0.8,0.254,25.6,6.5,3.88,12.2,101.3,11.2,42.7,13.2,6.4,-0.4,37.6,19.9,42.4,10.4,43.3,23.9,50.3,34.1,63.8,72,83.4,16.6,20,16
Anthony Santander,623993,28,BAL,2023,9,656,119,0.319,14.5,0.237,23.2,8.4,4.21,10.4,101.7,10.2,46.1,12.7,3.5,-0.7,35,15.3,49.7,4.5,46.1,21.2,49.1,37.7,70.8,67.8,85.9,20.2,28,5
Daulton Varsho,662139,26,TOR,2023,6,581,85,0.302,-7.9,0.232,23.2,7.7,3.98,10.5,99.9,7.3,36,11.2,5.4,2.3,32.5,20.3,47.2,5.7,50.8,23,49.4,32.4,64.1,71.1,87.1,20.5,20,16
Amed Rosario,642708,27,- - -,2023,2,545,88,0.305,-7,0.271,18.2,5.3,3.63,11.4,99.5,3.4,39.4,4.6,7.3,0.6,47.8,20.8,31.4,9.6,32.9,27.5,53.4,42.9,68.5,69.9,88.1,7.6,6,15
Eddie Rosario,592696,31,ATL,2023,4,516,100,0.317,-2.1,0.254,23.6,6.6,3.7,15.7,98.6,9.5,35.1,15.6,3.7,-1.9,40.1,22.1,37.8,6.3,44.3,19.8,57.1,45.9,64.5,74.3,79.8,14.5,21,3
Ketel Marte,606466,29,ARI,2023,6,650,127,0.342,21.6,0.266,16.8,10.9,3.82,8.5,101.6,8,42.8,14.9,5.8,0,44.8,19,36.2,7.7,44.1,21.5,45.4,27.7,67,70.1,89,10.7,25,8
Spencer Torkelson,679529,23,DET,2023,9,684,107,0.352,5.4,0.253,25,9.8,4.11,10.3,102.7,14.1,50.5,15,3.3,0.1,34.5,18.6,46.8,7.9,47.7,23.9,46.3,27.7,62.1,70.2,85.5,17.1,31,3
Nick Castellanos,592206,31,PHI,2023,4,671,109,0.32,4.6,0.258,27.6,5.4,3.62,18.7,100.4,10.3,43,17.6,4.4,-2.8,41.2,21.9,36.9,7.6,47.9,22.8,56.2,42.8,49.6,77.7,81.5,14.4,29,11
Teoscar Hernández,606192,30,SEA,2023,4,678,105,0.336,-0.6,0.258,31.1,5.6,3.94,17.8,103,13.8,49.4,16.6,3.7,-4.4,43.2,19.5,37.3,8.8,38.2,25.4,53.7,38.5,49.8,74.9,79.1,12.3,26,7
Max Muncy,571970,32,LAD,2023,8,579,118,0.364,12,0.235,26.4,14.7,4.29,11,101.3,14.6,46,21.8,2.9,-1.1,33.4,17.3,49.3,4.5,53.1,18.5,39.2,26,57.8,59.6,81.4,21.7,36,1
Jack Suwinski,669261,24,PIT,2023,8,534,112,0.346,10.4,0.218,32.2,14,4.27,10.9,102.2,15.7,43.4,17.3,5.1,2.1,27.9,18.6,53.6,12.8,41.6,21.7,38.9,22,52.7,62.5,81.4,22.4,26,13
Marcell Ozuna,542303,32,ATL,2023,3,592,139,0.396,26.6,0.283,22.6,9.6,4,12.2,103.3,16.6,49,24.7,1.7,-2.1,39.7,19.6,40.7,3.8,43.2,28.1,48.5,32.5,59.5,71.9,85.1,15.6,40,0
Hunter Renfroe,592669,31,- - -,2023,7,548,92,0.289,-6.8,0.225,22.8,8,3.84,12.3,100.5,6.1,38.8,13.2,1.3,-1.6,42.6,17.3,40.2,4.4,49.2,18.4,50.9,36.4,62.5,72.6,85.8,15,20,0
Vladimir Guerrero,665489,24,TOR,2023,7,682,118,0.378,10.5,0.299,14.7,9.8,3.58,10.8,104.1,11.1,49.2,14.5,2.4,-4.2,46.2,18.4,35.4,3.4,42.3,22.7,50.6,32.5,64.6,76.8,87.3,10.5,26,5
Bryson Stott,681082,25,PHI,2023,10,640,101,0.309,5.8,0.267,15.6,6.1,4.16,6,97.4,4.7,35.2,9.4,6,5,46.4,20.9,32.7,7.5,33,32.2,44.5,32.3,80.3,58.9,90.7,10.2,15,31
Brandon Drury,592273,30,LAA,2023,4,523,114,0.318,6,0.252,26,4.8,3.75,14.5,101.8,11,46.3,19.1,2.9,-2.8,42.4,19.2,38.4,6.7,41.5,22.9,51.7,38.3,56.4,70.6,84,11.8,26,0
TJ Friedl,670770,27,CIN,2023,1,556,116,0.289,17.4,0.24,16.2,8.5,3.95,6.8,96.4,3.2,27.4,11.4,7.2,6.1,38.5,19.6,41.9,4.8,44.5,22,41.3,27.7,71.5,58.1,90.5,16.1,18,27
Austin Hays,669720,27,BAL,2023,7,566,112,0.309,6.9,0.242,24.9,6.7,3.75,12.3,100.5,8.9,40.1,11,4.3,-1.3,45.1,16.9,38,7.5,40.6,24.2,46.5,33.6,55.9,65.3,86.7,10.4,16,5
Isaac Paredes,670623,24,TBR,2023,1,571,137,0.315,23.2,0.23,18.2,10.2,4.14,7.9,96.4,5.9,28.3,16.9,1.9,-1.9,31.9,21.1,47,6.5,54.5,18,45.7,32,71.6,67.8,91.3,22.2,31,1
Ezequiel Tovar,678662,21,COL,2023,2,615,70,0.291,-23.5,0.248,27,4.1,3.72,17.1,99,8.1,35.7,10.6,5.5,-0.8,42.7,23.5,33.8,5.1,33.6,27.1,59.3,45.4,55.7,81,84.7,12.6,15,11
Luis Arraez,650333,26,MIA,2023,5,617,132,0.354,23.1,0.329,5.5,5.7,3.5,3.1,95.7,3.5,25.2,6.5,2.9,-1.4,42.9,28.5,28.7,2.2,29.6,31.3,50.8,35.7,91.5,68.8,95.3,11.5,10,3
José Ramírez,608070,30,CLE,2023,6,691,123,0.359,21.4,0.299,10.6,10.6,3.78,6.7,100.1,7,40.3,10.3,5.7,2.4,34.7,22.4,42.8,6.3,51.1,18.9,46.6,30.9,75,70.3,92.5,18,24,28
Ian Happ,664023,28,CHC,2023,6,691,118,0.35,16.2,0.254,22.1,14.3,4.14,10.2,99.7,9,39,13.1,5,1.1,41.7,21.3,37,6.7,37.6,25.6,44.4,26.8,63.3,68.7,84.5,13,21,14
Steven Kwan,680757,25,CLE,2023,5,718,100,0.317,4.4,0.282,10.4,9.7,3.96,3.9,94.1,1.1,18.8,3,6.3,4.3,45,25.3,29.7,5.5,30,31.4,41,24.8,79.7,60.4,95.7,10.7,5,21
Luis Robert,673357,25,CHW,2023,4,595,128,0.347,20,0.259,28.9,5,3.7,18.3,101.8,15.2,41.7,23,5.7,-0.1,36.4,19.7,43.9,10.2,46.8,22.9,58.1,43.3,51.9,79.9,81.9,16.1,38,20
CJ Abrams,682928,22,WSN,2023,2,614,90,0.304,1.7,0.247,19.2,5.2,3.6,10.3,98.8,6.9,35.7,10.7,8.4,9.2,43.7,18.2,38.1,8.8,37.5,23.7,53,38.6,70,72.3,87.9,13.5,18,47
Josh Bell,605137,30,- - -,2023,7,617,105,0.345,-1.1,0.263,21.7,10.2,3.94,10.9,101.6,10.1,42.6,15.5,0.7,-4.6,48.3,17.5,34.1,6.5,45.7,22.4,47.6,31.1,62.6,73.5,86.7,9.3,22,0
Freddie Freeman,518692,33,LAD,2023,7,730,163,0.408,61.3,0.323,16.6,9.9,3.77,9.4,100.6,11.1,41.8,15,6,4.5,35.3,27.6,37,3.3,36.5,27.8,51,30.1,68.8,79.2,88,15.2,29,23
Nathaniel Lowe,663993,27,TEX,2023,10,724,114,0.339,7.7,0.263,22.8,12.8,4.2,7.9,101.1,6.5,41.4,12.3,3,-4.9,47.7,22.3,29.9,5.9,29.1,30.8,43.8,26,67.5,68.6,89.6,7.2,17,1
Carlos Santana,467793,37,- - -,2023,6,619,101,0.308,1.3,0.24,16.8,10.5,3.98,9.3,99.4,6.7,36.2,13.5,4,0.6,43.8,18.2,38,3.6,49.3,19.8,45.3,27.4,69.1,70.2,85.1,12.8,23,6
Dominic Smith,642086,28,WSN,2023,10,586,90,0.32,-13,0.256,15.5,8,3.77,9,97.2,6.6,30.8,7.3,2.2,-5.9,42.5,20.1,37.4,6.5,38.4,26.5,49,33.9,73,69.7,87.5,12.8,12,1
Randy Arozarena,668227,28,TBR,2023,3,654,126,0.351,20.7,0.243,23.9,12.2,4.1,11.9,102.1,12.3,48,14.8,5.6,0.5,43,18.1,38.9,13.5,41,22.8,43,30,63.7,63.5,78.9,11.3,23,22
Jeff McNeil,643446,31,NYM,2023,10,648,100,0.294,0.9,0.251,10,6,3.38,6.4,96,1.3,27,5.1,5.2,0.6,41.7,20.1,38.2,7.9,41.3,25.7,52.7,33.9,77.4,76.6,93.6,14.4,10,10
Orlando Arcia,606115,28,ATL,2023,7,533,99,0.307,-2.9,0.247,19.1,7.3,4,10.4,99.2,6.9,40.9,14.8,2.3,-2.3,53.7,16.7,29.6,6.2,43.2,22.6,46.1,28.8,64.3,68.8,84.4,5.4,17,1
Tim Anderson,641313,30,CHW,2023,2,524,60,0.279,-23.5,0.252,23.3,5,3.71,12.3,99.2,3,39.1,1.6,5.2,1.6,61.1,22,16.9,5.7,33.5,27.9,53.5,38.6,64.1,72.6,85.6,2,1,13
Trent Grisham,663757,26,SDP,2023,1,555,91,0.322,-4.9,0.218,27.7,13.5,4.22,10.2,100.7,11.8,39.9,9.9,5,1.5,35.3,21.9,42.8,4.6,42.8,21.9,41,24.3,61,61.7,82,18.3,13,15
Cody Bellinger,641355,27,CHC,2023,6,556,134,0.327,26.1,0.268,15.6,7.2,3.88,9.4,97.7,6.1,31.4,14.1,5.5,2.4,35.8,20.8,43.4,8.6,43.6,19.1,49.9,35.3,72,68.7,87.4,17.2,26,20
J.P. Crawford,641487,28,SEA,2023,1,638,134,0.34,26,0.26,19.6,14.7,4.12,6.3,99.1,4.8,36.2,12.3,2.7,-0.1,39.1,23.2,37.7,5,43,22,38.5,21.9,69.9,60.4,90.3,15.1,19,2
Bobby Witt,677951,23,KCR,2023,7,694,115,0.369,19.9,0.294,17.4,5.8,3.89,10.5,102.1,11.5,45.4,13.1,8.1,7.6,38,18.4,43.5,7.5,37.8,30.1,50.4,34.4,68.4,73.3,86.2,15.7,30,49
José Abreu,547989,36,HOU,2023,7,594,86,0.314,-12.1,0.248,21.9,7.1,4.04,12.1,100.8,8.7,41.6,11.9,2,-2.5,45,18.8,36.3,7,33.9,25.7,50.2,38.9,64.2,66.3,85.6,10.8,18,0
Rafael Devers,646240,26,BOS,2023,4,656,124,0.38,15.5,0.282,19.2,9.5,3.93,12.6,104.5,12.7,54.7,18.4,3,-3.2,42.8,18,39.3,6.2,41.1,24.1,52.5,36.1,70.8,79.1,79.8,12.4,33,5
Trea Turner,607208,30,PHI,2023,4,691,108,0.33,16.2,0.266,21.7,6.5,3.87,14.9,100.3,8.4,42.2,13.5,7.4,9.4,39.6,21,39.4,11.9,39.6,23.5,53.1,38.3,55.9,76.6,84.6,13,26,30
Carlos Correa,621043,28,MIN,2023,6,580,96,0.33,-5.5,0.253,22.6,10.2,3.89,9.9,102.5,9.6,45.9,13.7,1.9,-2.9,45.9,20.2,33.9,3.4,38.6,25.9,43.6,30.1,63.8,63.8,86.9,10.6,18,0
MJ Melendez,669004,24,KCR,2023,3,602,92,0.325,-5.4,0.235,28.2,10.3,4.05,15,101.4,11.4,49.6,10,4.5,0.5,36,20.4,43.6,6.1,45.8,21.8,47.8,29.8,54.3,72.4,76.8,16.9,16,6
Andrew Benintendi,643217,28,CHW,2023,10,621,87,0.31,-7.8,0.27,14.3,8.4,3.79,8.4,95.5,2.9,26.8,3,5,1.7,39.1,26.2,34.7,4.3,32.5,29.4,48.8,31.8,75.1,70.9,87.2,14.5,5,13
Andrew Vaughn,683734,25,CHW,2023,7,615,103,0.319,-2.4,0.252,21,5.9,3.77,10.4,101.7,8.4,46.5,13.3,2.1,-4.5,44.4,19.6,36,8.2,39.4,26.9,47.5,34.9,64,66.6,89.4,11.2,21,0
Corey Seager,608369,29,TEX,2023,4,536,169,0.412,41.4,0.314,16.4,9.1,3.44,12.6,103.5,15.2,53.2,21,2.4,-2.8,40,20.3,39.7,5.7,41.5,24.1,55.2,33.6,55.1,85.5,89.5,13,33,2
Fernando Tatis,665487,24,SDP,2023,4,635,113,0.364,13.1,0.281,22.2,8.3,3.68,15.3,102.9,11,48.9,17,5.9,3,47.1,19.2,33.6,6.3,43.6,17.4,54.1,35.7,58.3,81.7,80.3,11,25,29
Christian Walker,572233,32,ARI,2023,3,661,120,0.339,17.8,0.251,19.2,9.4,4.04,11.9,100.6,11.2,40.1,15.9,4.8,1.2,38.2,16.8,44.9,4,42.8,24,48.5,30.4,58.7,74,85.2,15.8,33,11
Justin Turner,457759,38,BOS,2023,1,626,114,0.336,5.6,0.26,17.6,8.1,4.27,7,98.6,5.7,39,12.2,3.1,-5.2,35.7,22.9,41.4,7.4,41,26.4,45,29.6,73.2,65.1,91,16.5,23,4
Adley Rutschman,668939,25,BAL,2023,1,687,127,0.373,20.4,0.292,14.7,13.4,4.23,5.6,99.6,7.5,38.4,11.8,1.8,-1.9,42.3,23.2,34.6,6.7,38.4,29.3,41,27,77.1,62,92.4,12.6,20,1
Michael Harris,671739,22,ATL,2023,2,539,115,0.357,14.8,0.304,18.7,4.6,3.63,11.6,103.6,10.1,48.5,14.5,6.1,4.9,47.2,22.2,30.6,3.1,35.8,27.2,52.7,41.6,68.3,68.2,86.2,7.6,18,20
Jeimer Candelario,600869,29,- - -,2023,6,576,117,0.318,12,0.236,22,9.2,4.05,10.2,99.2,7.8,36.3,14.2,5.3,-0.1,40.1,19.4,40.6,5.9,45.6,22.5,47.3,32,65.4,69.9,87.2,14.1,22,8
Alex Verdugo,657077,27,BOS,2023,10,602,98,0.331,-1.9,0.278,15.4,7.5,3.93,5.6,99.1,5,37.6,8.4,4.8,-0.5,45.2,21,33.8,4.8,38.2,24.5,40.8,25.2,70.2,58.6,94.3,8.8,13,5
Matt Chapman,656305,30,TOR,2023,9,581,110,0.337,6.2,0.23,28.4,10.7,4.22,11.7,103.5,17.1,56.1,9.9,3.7,-0.8,35,15.6,49.4,9.9,39.3,23.4,43.3,22.5,59.8,69.2,78.3,18.5,17,4
Shohei Ohtani,660271,28,LAA,2023,3,599,180,0.427,59.6,0.295,23.9,15.2,3.87,13.9,105.7,19.3,53.3,31.2,6.6,2.5,42.3,18.2,39.5,7.3,38.9,24.9,48,33.3,56.5,70.7,81.4,13.2,44,20
Corbin Carroll,682998,22,ARI,2023,10,645,133,0.344,38.7,0.268,19.4,8.8,3.77,8.9,101,7.6,40.9,15.4,9.3,12.3,43.9,19,37.1,7.3,42.7,24.2,45.5,30.5,68.2,67,88.5,11,25,54
Bryce Harper,547180,30,PHI,2023,4,546,142,0.399,28.2,0.29,21.8,14.7,3.7,16,103.8,15.2,46.8,20.4,4.3,-0.3,44.7,24.9,30.5,6,37.4,25.4,51.2,36.6,52.8,79.6,83.1,9.1,21,11
Bryan Reynolds,668804,28,PIT,2023,7,640,110,0.36,9.4,0.28,21.6,8.3,3.94,12.5,101,11.1,47.1,16.4,5.8,1.4,43,24,33,5.8,39.4,27.4,47.4,30.2,55,75.1,85.8,10.9,24,12
Alec Bohm,664761,26,PHI,2023,10,611,105,0.343,0.7,0.29,15.4,6.9,3.69,7.8,100.4,5.7,41.7,12.6,2.9,-3.3,42.3,23.8,33.8,3.5,30.2,29.4,49.9,34.3,74.6,70.1,90.7,11.1,20,4
Manny Machado,592518,30,SDP,2023,7,601,114,0.335,8.2,0.258,18.1,8.3,3.8,11,102.4,10.5,45.9,15.3,2.3,-2.4,40.2,15.2,44.5,7.9,38.4,26.6,49.3,32,63.7,72.7,85.9,15,30,3
Ozzie Albies,645277,26,ATL,2023,7,660,124,0.34,22.9,0.266,16.2,7,3.88,10,98.7,8.2,38.9,15.6,5.9,3.3,37.8,19.7,42.5,4.8,54.5,15.3,54.6,38.8,69.7,79.5,90.6,16.5,33,13
Jeremy Peña,665161,25,HOU,2023,2,634,96,0.305,-2,0.259,20.3,6.8,3.63,13.9,99.1,4,35.1,8.5,4.9,0.7,54.3,19.1,26.6,8.7,44.9,21.1,52.9,38.1,53.1,75.4,89.7,5.5,10,13
Marcus Semien,543760,32,TEX,2023,6,753,124,0.333,23.1,0.262,14.6,9.6,3.72,7.8,98.1,6.5,36.8,11,5.5,1.3,33.8,19.6,46.5,9.9,49.4,20.2,47.1,25.3,66.2,77,91.2,19.1,29,14
Andrés Giménez,665926,24,CLE,2023,2,616,97,0.297,2.2,0.245,18.2,5.2,3.81,12.4,96.7,5.5,27,9.2,7,4.1,45.3,17.4,37.3,8.1,43.1,24.6,53.9,42.7,68.9,70.4,84.4,13.1,15,30
Lars Nootbaar,663457,25,STL,2023,1,503,118,0.356,13.2,0.265,19.7,14.3,4.12,5.8,100.3,8.8,37.8,13.6,4.9,1.8,49.7,18.9,31.4,4.3,34.7,24.5,35.3,20.4,72.3,54.5,89.1,7.2,14,11
James Outman,681546,26,LAD,2023,3,567,118,0.325,16.3,0.228,31.9,12,4.15,15.3,100,11.1,39.5,18.4,6.2,3.4,37.5,21.4,41.1,9.6,49,21.9,45.9,28.1,45.6,71.7,78.4,15.7,23,16
J.D. Davis,605204,30,SFG,2023,4,546,104,0.323,0.5,0.244,27.8,9.5,3.83,16.5,101.4,9.5,44.4,19.6,2.5,-2.4,52.7,19.8,27.5,4,41.3,25.5,53,30.3,49,82.8,78.2,7.8,18,1
Kyle Tucker,663656,26,HOU,2023,6,674,140,0.386,36.1,0.292,13.6,11.9,3.81,7.5,100.8,10.4,44.5,13.9,6.4,4,38.4,19.1,42.5,4.8,44.9,22.2,46.5,25.9,69.6,73.1,90.4,14.8,29,30
Alex Bregman,608324,29,HOU,2023,1,724,125,0.351,17.8,0.266,12,12.7,3.85,4.9,98.1,5.4,38.2,10.1,3.7,-4.2,35.4,18.6,46,3.7,42.6,22.2,38.7,22.3,74.7,63.3,94.1,17.6,25,3
Nolan Arenado,571448,32,STL,2023,6,612,107,0.32,3.1,0.266,16.5,6.7,3.73,9.1,99.3,7.3,38.1,13.8,2.9,-2.1,38.8,20.8,40.5,6.6,50.1,19.5,48.5,36.8,68.9,67.1,91.9,16.9,26,3
Josh Jung,673962,25,TEX,2023,4,515,110,0.337,2.9,0.26,29.3,5.8,3.84,13.7,101.6,11.9,47.1,17.8,3,-3.4,36.5,24.3,39.2,5,36.8,23.4,51.9,36.1,58.4,74.2,84,15,23,1
Tommy Edman,669242,28,STL,2023,10,528,92,0.312,-2.2,0.262,15.9,6.6,3.43,6.6,99.5,5,38.6,10.2,7.2,2.8,51,16.8,32.2,7.9,43,20.7,45.6,31.1,71.6,63.6,94.1,7.5,13,27
Keibert Ruiz,660688,24,WSN,2023,10,562,93,0.322,-10.5,0.274,10.3,5.5,3.36,6.6,97.3,5.8,31.7,9.8,1.6,-5.5,38.5,22.3,39.2,3.9,45.8,20.3,51.1,39.5,78.4,67,94,15.2,18,1
Jake Burger,669394,27,- - -,2023,4,540,120,0.359,12.7,0.27,27.6,5.9,3.79,17.1,105,16.7,49.3,25.4,2.5,-0.8,42.9,18.4,38.6,5.4,49,18.2,54,41.3,50.6,72.2,82.6,12.3,34,1
Elias Díaz,553869,32,COL,2023,4,526,81,0.296,-14.4,0.245,22.4,6.5,3.77,14,100,6.2,38.4,10.4,2.2,-1.9,46.8,17.2,36,5.2,42.7,22,54.8,39.8,60.6,78.3,85.2,12.7,14,1
LaMonte Wade,664774,29,SFG,2023,1,519,122,0.363,12.4,0.265,18.3,14.6,4.05,7.7,99.5,9.1,39.8,12.3,3.4,-1.5,38,20.7,41.3,5.5,43.3,25.2,39,20.7,60.8,65.2,89.2,17.5,17,2
Christian Yelich,592885,31,MIL,2023,7,632,122,0.362,24.3,0.284,22.2,12.3,4.05,10.9,103.2,9.3,49.9,20.2,6,7.2,57.3,19.8,22.9,5.1,35.3,29.7,45,28,59.7,70.3,85.3,3.5,19,28
Leody Taveras,665750,24,TEX,2023,2,554,98,0.319,1.1,0.27,21.1,6.3,3.8,11,100.6,7.2,42.4,10.4,5.3,2.7,44.2,22.1,33.7,4.5,30.2,29.9,49.1,32.3,62.1,71.6,86.9,10.2,14,14
Lourdes Gurriel,666971,29,ARI,2023,7,592,106,0.324,4.3,0.264,17.4,5.6,3.74,8.1,99.9,8.4,46,15,3.9,0.1,43.1,21.3,35.6,5.7,40,25.1,49,33.4,69.9,70,92.3,10.6,24,5
Matt Olson,621566,29,ATL,2023,9,720,160,0.392,54.1,0.264,23.2,14.4,4.29,11.9,104.8,16.4,55.1,27.8,3.1,0.2,38.7,17.8,43.6,2.9,38.2,24.5,46.9,29.5,69.5,73.5,77.7,16.1,54,1
Masataka Yoshida,807799,29,BOS,2023,10,580,109,0.325,4.7,0.273,14,5.9,3.79,7.3,100.1,6.6,40.6,12.2,4.9,-1.9,54.6,18.6,26.9,8.8,36.5,28.4,43.3,29.3,73.4,59.9,88.7,3.9,15,8
Mark Canha,592192,34,- - -,2023,1,507,111,0.323,7.9,0.248,15.6,9.7,4.11,7.1,99,4.7,36.7,7.6,4.4,1,44.5,15.7,39.8,5,43.9,21.3,41.5,26.7,71.5,61.1,89.5,13.1,11,11
Pete Alonso,624413,28,NYM,2023,9,658,121,0.368,16.8,0.246,22.9,9.9,3.9,10.3,102.3,14.7,39.9,22.9,3.8,-0.6,36.6,15.7,47.7,4.5,44.4,23,43.7,30.2,64.7,64.1,84.6,18.2,46,4
Brent Rooker,667670,28,OAK,2023,3,526,127,0.343,16.3,0.237,32.7,9.3,4.09,16.2,102.7,15.6,49.5,21.6,3.3,-0.7,33.6,19.3,47.1,6.1,34.2,24.8,46.1,32,44.9,66.4,78.6,17.6,30,4
Thairo Estrada,642731,27,SFG,2023,2,530,101,0.292,2.5,0.248,22.6,4.2,3.63,10.4,97.9,4.8,33.7,10.9,5.7,1.9,44.1,21.1,34.9,5.5,47.8,22,51.1,40,65.7,67.8,92.1,10.8,14,23
Ke'Bryan Hayes,663647,26,PIT,2023,10,525,101,0.324,0.6,0.273,19.8,5.3,3.67,8.6,101.7,7.4,48.4,9.8,5.7,-0.1,41.8,19.1,39,7.3,31,31.6,45.5,33.3,65.6,62.7,92.5,13.2,15,10
Bo Bichette,666182,25,TOR,2023,2,601,125,0.363,16.3,0.312,19.1,4.5,3.7,10.3,101.7,9.6,44.9,16.5,3.6,-1.4,46.1,27.4,26.5,10,27,40.6,56.6,40.8,69.4,78.4,90.7,6.1,20,5
Zach McKinstry,656716,28,DET,2023,10,518,81,0.312,-10.7,0.247,21.8,8.5,4.08,8.5,97.7,7.6,33.2,5.9,6,1.1,35.1,21.8,43.1,6.5,35.4,27,47,30.6,66.9,69.1,90.9,17.8,9,16
Matt Vierling,663837,26,DET,2023,10,530,99,0.322,-1,0.266,21.1,8.3,4.02,7.2,100.6,4.6,42,8.8,4.7,-0.2,48.5,20.7,30.8,5.6,33.9,32.8,44.2,30.6,73.4,61.3,90.1,9.1,10,6
Enrique Hernández,571771,31,- - -,2023,10,508,72,0.272,-17.9,0.224,19.1,6.7,3.87,10.2,97.8,4.6,33.4,6.7,3.3,-1,37.4,19,43.6,3.6,36.6,25.9,46.7,30.7,63.2,68.6,87.2,17,11,4
Lane Thomas,657041,27,WSN,2023,6,682,109,0.319,9,0.255,25.8,5.3,3.85,9,100.2,9.6,40.5,16.4,6,1.7,44,18.7,37.3,9.4,51.2,19.2,43.6,30.6,64.4,62.1,89.8,10.8,28,20
Myles Straw,664702,28,CLE,2023,5,518,69,0.272,-15.8,0.239,18.7,8.1,3.84,5.1,95.1,0.5,23.1,0.9,5.9,3.3,47.3,22.1,30.6,8.7,24.7,35.3,43.8,27.1,82.2,62,91.4,9.4,1,20
Juan Soto,665742,24,SDP,2023,1,708,155,0.408,47.4,0.284,18.2,18.6,4.09,6.3,104.5,13,55.3,24.5,3.5,-0.9,51,16.6,32.4,5.8,38.9,20.7,35.7,20,67.6,60.2,89.9,6.7,35,12
